Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-05-22,117.199997,117.919998,116.400002,116.480003,116.480003,2459500,68
2018-05-23,116.239998,116.639999,115.120003,116.080002,116.080002,2011438,69
2018-05-24,114.32,115.199997,114.160004,114.32,114.32,1931738,70
2018-05-25,111.440002,111.440002,109.199997,109.440002,109.440002,5070300,71
2018-05-29,108.559998,108.800003,106.639999,108.080002,108.080002,3289125,72
2018-05-30,108.639999,110.800003,108.639999,110.639999,110.639999,3015113,73
2018-05-31,108.639999,110.32,107.68,108.400002,108.400002,3030750,74
2018-06-01,107.279999,108.160004,106,106,106,2868513,75
2018-06-04,106.400002,106.639999,104.480003,104.959999,104.959999,2484438,76
2018-06-05,104.239998,106.080002,104,105.760002,105.760002,2788663,77
2018-06-06,105.519997,106,104,105.279999,105.279999,2116213,78
2018-06-07,105.68,106.879997,105.599998,106.800003,106.800003,1776825,79
2018-06-08,106.480003,107.120003,105.440002,106.160004,106.160004,1979263,80
2018-06-11,105.360001,107.360001,105.199997,106.879997,106.879997,1836325,81
2018-06-12,106.720001,107.919998,106.639999,107.199997,107.199997,2434163,82
2018-06-13,106.800003,108.160004,106.639999,107.760002,107.760002,2182113,83
2018-06-14,108.400002,108.480003,107.199997,108.160004,108.160004,1667250,84
2018-06-15,107.519997,107.519997,104.32,104.400002,104.400002,3436813,85
2018-06-18,105.360001,106.639999,104.959999,106.32,106.32,2223113,86
2018-06-19,104.800003,105.68,104.080002,105.120003,105.120003,1999775,87
2018-06-20,106.559998,107.519997,105.199997,106.239998,106.239998,2540238,88
2018-06-21,105.120003,107.279999,104.959999,106.480003,106.480003,2245375,89
2018-06-22,109.68,112.239998,108.720001,112.160004,112.160004,4109475,90
2018-06-25,112.080002,112.400002,109.839996,110.160004,110.160004,3099950,91
2018-06-26,111.279999,114.480003,110.32,114.160004,114.160004,4205538,92
2018-06-27,115.919998,118.400002,115.839996,117.199997,117.199997,4305113,93
2018-06-28,117.839996,119.919998,117.519997,118.879997,118.879997,3882688,94
2018-06-29,119.440002,120.639999,119.360001,120.480003,120.480003,2701250,95
2018-07-02,120,120.480003,118.959999,119.68,119.68,2692025,96
2018-07-03,121.519997,122,117.839996,119.360001,119.360001,2636363,97
2018-07-05,120,120.400002,117.599998,118.239998,118.239998,2737150,98
2018-07-06,117.360001,119.839996,117.279999,119.68,119.68,2367950,99
2018-07-09,119.760002,120.239998,118.480003,120.239998,120.239998,1612275,100
2018-07-10,120.879997,121.360001,119.839996,120.559998,120.559998,1926900,101
2018-07-11,119.040001,120.239998,113.760002,114.480003,114.480003,4801038,102
2018-07-12,115.040001,115.599998,113.120003,115.120003,115.120003,2938800,103
2018-07-13,115.360001,117.279999,115.199997,115.760002,115.760002,2398038,104
2018-07-16,113.599998,113.839996,110.879997,111.519997,111.519997,3900275,105
2018-07-17,110.720001,112.400002,110.080002,111.599998,111.599998,6807063,106
2018-07-18,110.800003,112.879997,110.239998,112.800003,112.800003,2784425,107
2018-07-19,112.639999,114.32,112.239998,113.040001,113.040001,2766288,108
2018-07-20,113.440002,113.839996,112.559998,113.199997,113.199997,2851188,109
2018-07-23,114.559998,115.199997,112.400002,112.720001,112.720001,2937000,110
2018-07-24,112.879997,114.800003,112.879997,113.839996,113.839996,2495563,111
2018-07-25,114.239998,115.839996,113.360001,115.360001,115.360001,2686538,112
2018-07-26,114.720001,116.32,114.720001,115.760002,115.760002,1978288,113
2018-07-27,115.599998,116,113.519997,114.559998,114.559998,1882913,114
2018-07-30,116.720001,117.120003,116.160004,116.32,116.32,2155038,115
2018-07-31,115.040001,115.199997,113.919998,114.239998,114.239998,2030488,116
2018-08-01,112.720001,113.760002,111.919998,112.720001,112.720001,2264225,117
2018-08-02,112.080002,115.360001,111.839996,114.879997,114.879997,2169663,118
2018-08-03,114.480003,114.800003,112.879997,114.160004,114.160004,2062800,119
2018-08-06,115.199997,116.32,114.400002,114.480003,114.480003,2556025,120
2018-08-07,115.440002,115.839996,114.720001,114.879997,114.879997,1672350,121
2018-08-08,113.519997,113.519997,110.400002,111.199997,111.199997,3609975,122
2018-08-09,111.760002,112.239998,110.959999,111.040001,111.040001,2018688,123
2018-08-10,112.080002,112.959999,111.919998,112.639999,112.639999,2255250,124
2018-08-13,112.080002,112.400002,109.440002,112.080002,112.080002,3422513,125
2018-08-14,113.760002,113.839996,111.120003,111.919998,111.919998,2367788,126
2018-08-15,110.239998,110.32,107.519997,108.080002,108.080002,5946038,127
2018-08-16,108.559998,109.199997,108.160004,109.040001,109.040001,2308625,128
2018-08-17,110.480003,110.559998,108.879997,109.519997,109.519997,2552363,129
2018-08-20,109.519997,110.400002,109.279999,110.080002,110.080002,2190300,130
2018-08-21,111.68,111.839996,110.480003,110.639999,110.639999,1340450,131
2018-08-22,113.040001,114.559998,112.480003,114.160004,114.160004,2537700,132
2018-08-23,113.599998,114.480003,113.279999,114.160004,114.160004,1441388,133
